,id,v1x,v1y,v2x,v2y,isCorrect
0,0,3280.0,1952.0,3256.0,1976.0,1
1,0,4048.0,2400.0,4048.0,2528.0,1
2,0,4048.0,2400.0,4048.0,2528.0,1
3,0,3600.0,2976.0,3472.0,2976.0,1
4,0,3600.0,2976.0,3472.0,2976.0,1
5,0,3024.0,2528.0,3024.0,2400.0,1
6,0,3024.0,2528.0,3024.0,2400.0,1
7,0,3472.0,1952.0,3600.0,1952.0,1
8,0,3472.0,1952.0,3600.0,1952.0,1
9,0,4048.0,2719.0,4048.0,2608.0,1
10,0,3056.0,2176.0,3024.0,2207.0,1
11,0,3472.0,1952.0,3376.0,1952.0,1
12,69,3344.0,2400.0,3472.0,2272.0,1
13,69,3600.0,2272.0,3728.0,2400.0,1
14,0,3672.0,2584.0,3664.0,2592.0,1
15,0,3672.0,2584.0,3664.0,2592.0,1
16,4,3472.0,2656.0,3344.0,2528.0,1
17,0,3472.0,2272.0,3472.0,2240.0,1
18,10,3600.0,3056.0,3472.0,3056.0,1
19,10,3600.0,3056.0,3472.0,3056.0,1
20,0,3600.0,3056.0,3600.0,3008.0,1
21,0,3600.0,3056.0,3600.0,3008.0,1
22,0,4128.0,2400.0,4080.0,2400.0,1
23,0,4128.0,2400.0,4080.0,2400.0,1
24,11,4128.0,2400.0,4128.0,2528.0,1
25,11,4128.0,2400.0,4128.0,2528.0,1
26,12,3472.0,1872.0,3600.0,1872.0,1
27,12,3472.0,1872.0,3600.0,1872.0,1
28,0,3472.0,1872.0,3472.0,1920.0,1
29,0,3472.0,1872.0,3472.0,1920.0,1
30,0,2944.0,2528.0,2992.0,2528.0,1
31,0,2944.0,2528.0,2992.0,2528.0,1
32,9,2944.0,2528.0,2944.0,2400.0,1
33,9,2944.0,2528.0,2944.0,2400.0,1
34,0,3472.0,3056.0,3472.0,3088.0,1
35,0,3472.0,3056.0,3472.0,3088.0,1
36,0,3472.0,3056.0,3472.0,3088.0,1
37,0,3600.0,3088.0,3600.0,3056.0,1
38,10,3600.0,3088.0,3472.0,3088.0,1
39,10,3600.0,3088.0,3472.0,3088.0,1
40,10,3600.0,3088.0,3472.0,3088.0,1
41,9,2912.0,2528.0,2912.0,2400.0,1
42,9,2912.0,2528.0,2912.0,2400.0,1
43,0,2912.0,2528.0,2944.0,2528.0,1
44,0,2944.0,2400.0,2912.0,2400.0,1
45,0,2944.0,2400.0,2912.0,2400.0,1
46,0,3600.0,1872.0,3600.0,1840.0,1
47,0,3600.0,1872.0,3600.0,1840.0,1
48,0,3472.0,1840.0,3472.0,1872.0,1
49,12,3472.0,1840.0,3600.0,1840.0,1
50,12,3472.0,1840.0,3600.0,1840.0,1
51,11,4160.0,2400.0,4160.0,2528.0,1
52,11,4160.0,2400.0,4160.0,2528.0,1
53,11,4160.0,2400.0,4160.0,2528.0,1
54,0,4160.0,2400.0,4128.0,2400.0,1
55,0,4128.0,2528.0,4160.0,2528.0,1
56,0,4128.0,2528.0,4160.0,2528.0,1
57,0,4128.0,2528.0,4160.0,2528.0,1
58,0,4160.0,2528.0,4144.0,2768.0,1
59,0,2912.0,2400.0,2928.0,2160.0,1
60,0,3600.0,1840.0,3840.0,1856.0,1
61,0,3840.0,1856.0,3952.0,1968.0,1
62,0,3840.0,1856.0,3952.0,1968.0,1
63,0,3232.0,1856.0,3472.0,1840.0,1
64,0,2928.0,2160.0,3024.0,2064.0,1
65,0,2928.0,2768.0,2912.0,2528.0,1
66,0,2928.0,2768.0,2912.0,2528.0,1
67,0,4144.0,2160.0,4160.0,2400.0,1
68,0,4144.0,2768.0,4032.0,2880.0,1
69,0,3472.0,3088.0,3352.0,3080.0,1
70,0,3120.0,2960.0,2704.0,3376.0,1
71,0,3120.0,2960.0,2704.0,3376.0,1
72,0,3056.0,2896.0,2928.0,2768.0,1
73,0,3232.0,3072.0,3120.0,2960.0,1
74,0,2640.0,3312.0,3056.0,2896.0,1
75,0,2640.0,3312.0,3056.0,2896.0,1
76,12,3600.0,1920.0,3472.0,1920.0,1
